id,rank,name,gender,country,region,age,weight,height,QFOneScore,QFOneRank,QFTwoScore,QFTwoRank,QFThreeScore,QFThreeRank,QFFourScore,QFFourRank,QFFiveScore,QFFiveRank
1657300,41,Fabian Beneito,M,Spain,Europe,26,90 kg,178 cm,7:41,130,7:31,32,14:38,290,999 lbs,328,2:51,83
672663,42,Joshua Al-chamaa,M,United Kingdom,Europe,30,211 lb,183 cm,6:12,5,8:37,223,13:59,90,971 lbs,531,2:40,17
20698,43,Timothy Paulson,M,United States,North America,32,215 lb,73 in,7:52,164,9:02,390,14:13,149,1032 lbs,145,2:41,19
743896,44,Dylan Pettit,M,United States,North America,28,218 lb,71 in,7:24,93,7:44,58,14:08,122,969 lbs,562,2:48,54
79080,45,Peter Mason,M,United States,North America,27,190 lb,70 in,7:53,169,7:49,65,14:08,122,1022 lbs,176,3:15,367
233034,46,Tyler Eggimann,M,United States,North America,29,200 lb,70 in,8:16,261,7:53,70,14:44,341,1091 lbs,23,3:05,223
680734,47,Henrik Haapalainen,M,Finland,Europe,27,93 kg,185 cm,8:11,241,8:30,185,14:17,168,1029 lbs,155,3:01,177
337194,48,Bayden Brown,M,Australia,Oceania,27,90 kg,177 cm,6:25,10,8:11,121,13:57,80,957 lbs,663,2:50,75
43761,49,Ben Smith,M,United States,North America,32,195 lb,71 in,8:10,236,8:07,109,14:51,407,1046 lbs,84,2:57,130
822789,50,Alex Kotoulas,M,Greece,Europe,29,83 kg,172 cm,7:19,80,7:19,13,13:28,20,944 lbs,809,2:47,46
932990,51,Taylor Self,M,United States,North America,26,195 lb,70 in,7:36,118,7:41,53,14:18,175,971 lbs,531,2:55,114
238338,52,Kevin Jurs,M,Estonia,Europe,28,96 kg,180 cm,7:53,169,8:53,328,14:53,417,1096 lbs,19,2:49,65
229590,53,Tony Facchini,M,United States,North America,29,200 lb,70 in,7:57,190,9:03,396,14:04,104,1064 lbs,48,3:08,265
698182,54,Adrian Mundwiler,M,Switzerland,Europe,29,87 kg,172 cm,7:29,104,7:38,46,14:56,450,1012 lbs,229,3:01,177
843041,55,Nick Mathew,M,United States,North America,28,200 lb,69 in,6:42,24,9:23,520,14:44,341,1028 lbs,158,2:41,19
897110,56,Tudor Magda,M,United States,North America,19,195 lb,70 in,6:44,27,7:52,69,15:40,890,1052 lbs,68,2:43,27
1076087,57,Hamzeh Tarefi,M,Palestinian Territory,Asia,27,88 kg,173 cm,8:59,461,6:59,4,14:30,232,1021 lbs,180,3:06,240
1325298,58,Aleksandar Ilin,M,,Asia,32,87 kg,175 cm,6:33,18,7:20,14,15:32,794,1024 lbs,171,2:57,130
325873,59,Garrett Clark,M,United States,North America,23,195 lb,69 in,6:38,19,8:43,259,15:22,679,1043 lbs,99,2:50,75
248752,60,PD Savage,M,Ireland,Europe,32,100 kg,185 cm,9:12,540,8:38,230,14:21,188,1027 lbs,160,2:39,14
323300,61,Mitchel Stevenson,M,United States,North America,29,185 lb,69 in,6:48,31,8:27,175,13:24,16,945 lbs,789,2:57,130
169360,62,Anderon Primo,M,Brazil,South America,27,205 lb,180 cm,8:42,355,8:20,146,15:16,621,1095 lbs,21,2:36,9
123764,63,Logan Collins,M,United States,North America,31,182 lb,67 in,7:23,90,7:25,22,14:45,350,978 lbs,474,3:05,223
180541,64,Alex Vigneault,M,Canada,North America,30,208 lb,71 in,9:58,922,7:45,60,13:36,39,1047 lbs,77,2:49,65
1934516,65,William Leahy IV,M,United States,North America,21,185 lb,71 in,7:22,86,8:34,209,14:16,160,965 lbs,585,2:57,130
95750,66,Mike Needleman,M,United States,North America,25,190 lb,69 in,8:16,261,8:26,171,14:30,232,995 lbs,355,3:00,163
238219,67,Norman Woodring,M,United States,North America,32,220 lb,73 in,8:45,382,9:21,508,14:21,188,1081 lbs,32,2:50,75
902269,68,Tommaso Pieri,M,Italy,Europe,25,100 kg,190 cm,8:12,245,7:39,48,14:41,313,988 lbs,393,3:03,196
1053957,69,Hunter Holifield,M,United States,North America,24,195 lb,70 in,7:38,125,8:44,267,15:28,746,1063 lbs,50,2:39,14
472642,70,Uldis Upenieks,M,Latvia,Europe,24,84 kg,174 cm,7:04,55,7:56,80,13:49,60,948 lbs,761,3:08,265
473970,71,Brian Huynh,M,United States,North America,28,180 lb,69 in,7:56,184,7:43,55,13:47,53,982 lbs,438,3:22,506
676693,72,Colten Mertens,M,United States,North America,24,185 lb,64 in,6:52,37,8:20,146,15:38,862,1082 lbs,30,3:00,163
194457,73,Jake Marconi,M,United States,North America,25,190 lb,67 in,7:11,63,7:56,80,14:08,122,949 lbs,758,3:08,265
235127,74,Luis Oscar Mora,M,Mexico,North America,23,83 kg,170 cm,9:12,540,8:08,112,14:42,324,1038 lbs,117,3:03,196
697475,75,John Wood,M,United States,North America,27,212 lb,72 in,8:47,391,8:37,223,14:55,440,1017 lbs,198,2:47,46
106655,76,Simon Mantyla,M,Sweden,Europe,31,93 kg,181 cm,8:47,391,8:52,323,14:47,369,1062 lbs,53,3:00,163
402035,77,Mark Hutchinson,M,United States,North America,34,207 lb,71 in,7:17,74,8:39,236,15:09,551,1016 lbs,203,3:06,240
251447,78,Austin Spencer,M,United States,North America,29,200 lb,70 in,8:12,245,8:45,275,14:38,290,1008 lbs,258,3:06,240
642094,79,Cam Crockett,M,United States,North America,24,195 lb,69 in,7:10,61,7:40,51,14:05,111,933 lbs,943,2:59,150
28024,80,Gary Jones,M,United States,North America,33,193 lb,72 in,9:43,795,7:57,84,14:26,208,1047 lbs,77,3:00,163
1285760,81,Ben Fowler,M,New Zealand,Oceania,21,83 kg,178 cm,6:57,44,7:35,40,14:08,122,936 lbs,900,3:05,223
351045,82,Jamie Headon,M,Ireland,Europe,29,88 kg,174 cm,7:37,122,8:46,285,15:24,694,1036 lbs,128,2:56,123
661731,83,Dimitris Fotiou,M,Greece,Europe,31,78 kg,168 cm,7:55,180,8:35,214,15:05,513,1011 lbs,240,3:04,213
352340,84,Casey Crable,M,United States,North America,29,215 lb,72 in,9:16,574,9:15,461,13:47,53,1025 lbs,167,2:55,114
99564,85,Alec Smith,M,United States,North America,29,190 lb,71 in,8:29,305,7:37,43,14:40,303,1000 lbs,313,3:17,407
495781,86,Haraldur Holgersson,M,Iceland,Europe,23,180 lb,178 cm,8:31,314,8:20,146,14:41,313,986 lbs,409,3:03,196
929317,87,Enrico Zenoni,M,Italy,Europe,24,86 kg,178 cm,6:50,34,7:27,25,14:04,104,948 lbs,761,3:20,468
388740,88,Anthony Davis,M,United States,North America,27,225 lb,69 in,9:59,932,8:46,285,14:17,168,1122 lbs,6,2:20,2
211543,89,Marquan Jones,M,United States,North America,32,200 lb,71 in,8:50,408,8:36,218,14:47,369,1012 lbs,229,3:01,177
270266,90,Omar Martinez,M,Venezuela,South America,30,76 kg,2 cm,6:27,11,7:28,26,14:02,97,933 lbs,943,3:13,341
1045503,91,Spencer Arey,M,United States,North America,23,165 lb,69 in,7:45,142,7:34,38,13:51,63,935 lbs,911,3:09,277
739342,92,Reilly Good,M,United States,North America,29,215 lb,68 in,9:02,482,9:37,625,14:26,208,1067 lbs,44,2:50,75
534247,93,Scott Tetlow,M,United States,North America,29,175 lb,63 in,7:11,63,7:28,26,14:40,303,936 lbs,900,2:59,150
281043,94,Jack Clark,M,Australia,Oceania,23,89 kg,178 cm,7:07,57,9:23,520,14:24,204,966 lbs,575,2:52,92
34435,95,Tristan Maiorano,M,United States,North America,27,195 lb,71 in,7:52,164,8:58,357,14:41,313,1040 lbs,110,3:22,506
949237,96,Benoît Boulanger,M,Canada,North America,23,202 lb,186 cm,6:40,21,8:41,248,13:54,69,963 lbs,608,3:22,506
1332272,97,Martin Gonzalez,M,Argentina,South America,24,167 lb,176 in,6:51,36,8:40,242,14:37,282,970 lbs,541,3:14,352
901467,98,Kealan Henry,M,South Africa,Africa,29,,,6:29,14,7:21,16,13:50,62,915 lbs,1216,2:59,150
120333,99,Jason Smith,M,South Africa,Africa,38,195 lb,185 cm,8:47,391,8:01,96,14:10,134,975 lbs,500,3:13,341
86089,100,Elliot Simmonds,M,United Kingdom,Europe,28,90 kg,185 cm,7:39,127,8:12,124,14:08,122,946 lbs,783,3:11,307
923468,101,Tiago Luzes,M,Portugal,Europe,25,87 kg,180 cm,9:14,557,8:19,145,14:22,194,979 lbs,465,2:54,110
1927954,102,Riley Martin,M,New Zealand,Oceania,20,,,8:38,339,8:50,308,15:09,551,1027 lbs,160,2:55,114
7314,103,Brandon Swan,M,Australia,Oceania,31,195 lb,175 cm,8:43,362,8:29,180,13:57,80,979 lbs,465,3:16,386
1232973,104,Dumain Antoine,M,France,Europe,28,89 kg,179 cm,9:32,708,8:24,165,13:19,10,979 lbs,465,2:58,142
633281,105,Alexandre Pinsolle,M,France,Europe,28,95 kg,188 cm,7:03,53,8:31,191,14:20,184,950 lbs,730,3:13,341
437841,106,Marcus Erixon,M,Sweden,Europe,29,90 kg,186 cm,7:31,109,9:16,469,14:50,396,1036 lbs,128,3:17,407
1289013,107,Justin Rhodes,M,United States,North America,24,180 lb,68 in,8:39,340,8:25,166,14:19,179,987 lbs,401,3:18,426
313457,108,Jacob Pfaff,M,United States,North America,30,215 lb,67 in,8:28,299,7:14,11,15:54,1096,1087 lbs,27,2:51,83
517691,109,Denis Samsonov,M,Kyrgyzstan,Asia,31,190 lb,,7:17,74,7:45,60,15:32,794,1040 lbs,110,3:21,491
237641,110,Zack George,M,United Kingdom,Europe,32,101 kg,182 cm,9:08,516,9:42,658,14:41,313,1091 lbs,23,2:46,38
489030,111,Nycolas Joyal,M,Canada,North America,28,192 lb,70 in,8:20,278,7:53,70,15:13,590,1020 lbs,185,3:18,426
945268,111,Reggie Fasa,M,United Kingdom,Europe,27,90 kg,172 cm,7:56,184,8:05,107,14:50,396,954 lbs,699,3:00,163
1271103,113,Evan Rogers,M,United States,North America,28,182 lb,71 in,8:13,249,7:43,55,14:35,264,940 lbs,843,2:59,150
1690,114,Travis Mayer,M,United States,North America,31,204 lb,71 in,7:59,197,10:15,937,13:29,21,998 lbs,335,2:50,75
888668,114,Luka Đukić,M,Serbia,Europe,23,91 kg,182 cm,9:43,795,8:26,171,13:29,21,980 lbs,455,2:56,123
351417,116,Alexander Anasagasti,M,Spain,Europe,30,74 kg,174 cm,8:03,210,7:54,75,14:18,175,933 lbs,943,3:00,163
773001,117,Iurii Marincenco,M,Italy,Europe,26,187 lb,70 in,7:53,169,8:07,109,14:33,248,988 lbs,393,3:30,660
236486,118,Matt Mcleod,M,Australia,Oceania,29,77 kg,165 cm,8:13,249,8:38,230,14:42,324,974 lbs,512,3:08,265
684163,119,Jake Standen,M,Australia,Oceania,24,93 kg,184 cm,6:46,30,10:26,1040,14:37,282,1060 lbs,55,3:01,177
1454081,120,Matt Poulin,M,United States,North America,26,195 lb,70 in,7:01,49,8:04,102,13:33,29,926 lbs,1027,3:16,386
955489,121,Agustin Ezequiel Guiñazu,M,Argentina,South America,23,96 kg,182 cm,8:50,408,9:29,569,14:40,303,1052 lbs,68,3:07,252
461734,122,Michael Smith,M,Ireland,Europe,30,210 lb,183 cm,7:49,153,9:28,562,14:29,225,981 lbs,442,3:05,223
744550,123,Gustavo Errico,M,Venezuela,South America,24,79 kg,171 cm,6:52,37,7:37,43,15:07,530,947 lbs,773,3:05,223
935580,124,Victor Ljungdal,M,Sweden,Europe,26,85 kg,172 cm,7:02,51,8:49,300,14:47,369,959 lbs,645,3:07,252
317745,125,John Champion,M,Australia,Oceania,27,89 kg,179 cm,8:06,222,9:10,430,14:42,324,973 lbs,517,2:57,130
1031875,126,Roldan Goldbaum,M,Mexico,North America,22,80 kg,170 cm,8:19,275,8:46,285,15:48,1008,1074 lbs,38,2:41,19
111592,127,Connor Duddy,M,United States,North America,29,190 lb,70 in,7:55,180,8:15,131,14:30,232,930 lbs,981,2:54,110
169650,128,Lucas Da Rosa,M,Brazil,South America,26,90 kg,184 cm,8:21,282,7:48,63,14:45,350,940 lbs,843,2:53,101
1189468,129,Jan Matiaska,M,Switzerland,Europe,27,98 kg,186 cm,7:45,142,9:07,413,15:45,954,1041 lbs,104,2:46,38
214252,130,Ruan Duvenage,M,South Africa,Africa,33,90 kg,178 cm,8:04,215,8:25,166,15:39,876,1042 lbs,100,3:11,307
202638,131,Royce Dunne,M,Australia,Oceania,31,102 kg,183 cm,10:20,1061,7:35,40,14:41,313,1036 lbs,128,2:56,123
230757,132,Casper Gammelmark,M,Denmark,Europe,31,86 kg,183 cm,9:40,772,8:26,171,14:46,358,1014 lbs,218,2:59,150
877784,133,Joshua Hong,M,United States,North America,23,180 lb,69 in,7:28,101,8:25,166,15:25,709,984 lbs,429,3:08,265
1281054,134,Cj Gerald,M,United States,North America,28,,,9:27,667,9:00,376,14:53,417,1037 lbs,122,2:53,101
913681,135,Lucas Heuzé,M,France,Europe,27,88 kg,179 cm,7:21,84,7:39,48,14:54,425,944 lbs,809,3:12,322
483096,136,Giorgos Karavis,M,Greece,Europe,27,90 kg,177 cm,7:49,153,7:05,7,15:46,973,977 lbs,486,2:51,83
179080,137,Bartek Lipka,M,Poland,Europe,32,183 lb,177 cm,8:14,251,9:36,620,15:13,590,1045 lbs,86,3:00,163
105536,138,Chase Smith,M,United States,North America,33,195 lb,69 in,7:37,122,10:32,1104,14:17,168,1003 lbs,296,2:42,24
227615,139,Ioannis Papadopoulos,M,Greece,Europe,35,105 kg,188 cm,8:43,362,8:42,254,15:54,1096,1135 lbs,2,2:25,3
675164,140,Nikita Yundov,M,,Europe,29,90 kg,178 cm,7:23,90,8:30,185,14:55,440,948 lbs,761,3:12,322
308712,141,Jean-Simon Roy-Lemaire,M,Canada,North America,28,195 lb,176 cm,6:27,11,10:07,872,15:03,499,1023 lbs,173,3:07,252
422637,142,Dylan Hamming,M,United States,North America,29,215 lb,74 in,9:44,809,9:28,562,14:34,257,1053 lbs,66,2:56,123
771441,143,Calum Clements,M,Spain,Europe,25,95 kg,185 cm,8:28,299,9:28,562,15:12,583,999 lbs,328,2:48,54
478734,144,Raymond Romanick,M,United States,North America,28,195 lb,71 in,8:41,349,8:18,142,14:36,274,975 lbs,500,3:25,564
98053,145,Kristóf Horváth,M,Hungary,Europe,28,103 kg,189 cm,9:30,691,10:10,898,13:59,90,1038 lbs,117,2:48,54
911088,146,Ludvig Hahnsson,M,Finland,Europe,31,89 kg,177 cm,8:28,299,8:47,293,15:00,481,966 lbs,575,3:04,213
1399749,147,Dami Martínez,M,Spain,Europe,29,,,9:28,672,8:03,100,15:19,655,992 lbs,375,2:49,65
326958,148,Santiago Comba,M,Uruguay,South America,28,82 kg,173 cm,6:22,9,7:43,55,15:45,954,968 lbs,564,3:10,293
242732,149,Nick Thomas,M,United States,North America,31,193 lb,68 in,8:49,401,9:08,417,15:13,590,1031 lbs,149,3:12,322
869061,150,Leonel Franco,M,United States,North America,24,195 lb,,9:13,546,8:43,259,15:24,694,1005 lbs,274,2:55,114
1296941,151,Giovanni Angelozzi,M,Italy,Europe,29,,,7:11,63,9:26,542,15:27,738,1004 lbs,293,3:07,252
351519,152,Sammy Wright,M,United Kingdom,Europe,29,,,7:45,142,10:02,828,14:54,425,1014 lbs,218,3:09,277
2232576,153,Williams Rios,M,Argentina,South America,24,,,7:26,95,8:45,275,14:43,333,980 lbs,455,3:34,737
263026,154,Zach Watts,M,United States,North America,26,205 lb,72 in,8:53,430,9:45,687,15:19,655,1081 lbs,32,2:52,92
408198,155,David Mata,M,Spain,Europe,31,83 kg,182 cm,9:13,546,8:44,267,15:21,673,1041 lbs,104,3:11,307
1178252,156,Piero Gorichon,M,Chile,South America,30,90 kg,183 cm,8:52,424,9:03,396,15:25,709,1047 lbs,77,3:11,307
1408660,157,Luka Vunjak,M,Serbia,Europe,22,92 kg,173 cm,8:42,355,7:48,63,15:18,643,955 lbs,682,3:01,177
705474,158,Sam DeMeester,M,United States,North America,23,195 lb,71 in,7:59,197,9:42,658,14:16,160,944 lbs,809,2:57,130
831455,159,Topias Romo,M,Finland,Europe,28,,,8:08,231,9:23,520,14:48,376,979 lbs,465,3:15,367
1291218,160,Philip Lundqvist,M,Sweden,Europe,24,85 kg,178 cm,9:07,509,9:05,402,15:12,583,999 lbs,328,2:58,142
3413,161,Josh Woodhull,M,United States,North America,31,200 lb,73 in,8:30,311,8:57,350,14:13,149,938 lbs,864,3:10,293
1229084,162,Jan Arnd Finkenberg,M,Germany,Europe,24,94 kg,182 cm,10:18,1048,9:18,488,14:15,158,1022 lbs,176,2:57,130
1335018,162,Bruno Marins,M,Brazil,South America,25,96 kg,187 cm,8:19,275,9:06,411,15:02,491,964 lbs,600,3:05,223
109346,164,John Coltey,M,United States,North America,33,195 lb,69 in,8:49,401,9:48,710,15:03,499,1010 lbs,246,2:59,150
1699284,165,Tanner Balazs,M,United States,North America,26,180 lb,69 in,7:56,184,8:52,323,15:15,612,955 lbs,682,3:05,223
452063,166,Augusto Gesso,M,Italy,Europe,29,85 kg,178 cm,9:05,500,9:35,608,15:05,513,992 lbs,375,2:46,38
422268,167,Connor McDonald,M,United States,North America,30,195 lb,72 in,8:26,296,10:22,996,14:30,232,978 lbs,474,2:48,54
1214445,168,Matúš Kočar,M,Slovakia,Europe,20,79 kg,171 cm,7:41,130,8:01,96,14:58,462,956 lbs,670,3:32,701
707413,169,Matt Dlugos,M,United States,North America,25,218 lb,76 in,8:28,299,11:16,1564,13:51,63,1034 lbs,137,2:19,1
468290,170,Bryan Hernández,M,Spain,Europe,24,79 kg,169 cm,10:15,1027,7:30,30,14:38,290,963 lbs,608,2:54,110
239255,171,Frank Mastroianni,M,United States,North America,28,175 lb,65 in,7:18,77,8:46,285,15:38,862,970 lbs,541,3:11,307
250172,172,Bronislaw Olenkowicz,M,Poland,Europe,33,99 kg,182 cm,7:13,69,10:48,1271,15:26,725,1105 lbs,14,2:32,5
252764,173,Jordan Hayward,M,United States,North America,28,200 lb,71 in,8:12,245,9:44,676,15:09,551,983 lbs,431,3:02,190
900251,174,James Sprague,M,United States,North America,20,210 lb,74 in,8:07,228,10:11,906,13:20,11,941 lbs,830,2:56,123
367955,175,Mike Evans,M,United States,North America,25,190 lb,,8:28,299,9:26,542,15:10,562,1000 lbs,313,3:16,386
899191,176,Chase Merrill,M,United States,North America,25,196 lb,69 in,7:18,77,8:47,293,15:46,973,967 lbs,571,3:03,196
877376,177,Lee Sharum,M,United States,North America,24,185 lb,70 in,8:11,241,8:04,102,14:40,303,985 lbs,416,3:49,1058
1289210,177,Phillip Muscarella,M,United States,North America,29,192 lb,69 in,9:01,476,8:39,236,15:19,655,983 lbs,431,3:12,322
209758,179,Piotr Mielczarek,M,Poland,Europe,34,96 kg,184 cm,7:01,49,10:30,1085,14:38,290,961 lbs,623,2:52,92
117991,180,Dex Hopkins,M,United States,North America,33,210 lb,74 in,8:43,362,9:29,569,15:21,673,1006 lbs,270,3:09,277
257503,181,Richie Carrel,M,United States,North America,25,195 lb,70 in,8:22,283,9:50,727,14:58,462,985 lbs,416,3:09,277
1049283,182,Collin Garnek,M,United States,North America,24,215 lb,183 cm,8:39,340,8:56,343,16:10,1337,1042 lbs,100,2:47,46
432855,183,Daniel Camacho,M,Spain,Europe,29,89 kg,178 cm,8:53,430,8:55,338,14:31,241,922 lbs,1120,2:46,38
676163,184,Fernando Martin,M,Spain,Europe,32,91 kg,184 cm,9:41,778,8:45,275,13:39,43,926 lbs,1027,2:47,46
410262,185,Jeremy Vigneault,M,Canada,North America,25,215 lb,185 cm,11:26,1715,7:54,75,13:29,21,1005 lbs,274,2:52,92
234692,186,Stephen Jones,M,Canada,North America,25,192 lb,70 in,8:52,424,8:20,146,16:14,1405,1030 lbs,150,2:48,54
1209621,187,Daniel Sterling,M,United States,North America,21,173 lb,,8:56,439,10:08,878,14:59,469,1029 lbs,155,3:06,240
682551,187,Ryan Sowder,M,United States,North America,28,190 lb,68 in,8:58,454,8:22,156,15:47,994,1006 lbs,270,3:11,307
896411,189,Jack Rozema,M,United States,North America,26,200 lb,69 in,7:30,107,9:43,666,16:11,1348,1071 lbs,41,2:42,24
873625,190,Radoslaw Wreczycki,M,Poland,Europe,25,,,8:29,305,9:29,569,15:44,941,1005 lbs,274,2:53,101
233782,191,Tyler Lee,M,Canada,North America,32,195 lb,70 in,7:27,97,10:23,1004,14:37,282,958 lbs,659,2:59,150
569557,192,Kurtis Jackson,M,Australia,Oceania,29,80 kg,167 cm,7:16,73,7:51,67,14:40,303,910 lbs,1310,3:19,442
37172,193,Marshall Creed,M,United States,North America,32,172 lb,67 in,8:05,219,8:17,139,13:12,2,924 lbs,1094,3:35,765
1079534,193,Damian Conciatori,M,Canada,North America,27,165 lb,69 in,8:26,296,8:31,191,14:44,341,936 lbs,900,3:21,491
41519,195,Carlos Albaladejo,M,United States,North America,34,175 lb,67 in,7:59,197,10:46,1246,15:02,491,1033 lbs,140,2:59,150
482764,196,Eric Evans,M,United States,North America,31,178 lb,70 in,7:26,95,8:44,267,14:48,376,959 lbs,645,3:39,844
1169278,197,Mathias Porter,M,United States,North America,26,,,8:20,278,8:16,136,16:18,1477,1017 lbs,198,2:58,142
487535,198,Jakub Cieślik,M,Poland,Europe,27,185 lb,,8:06,222,7:53,70,15:46,973,946 lbs,783,3:03,196
932524,199,Eliott Genin,M,France,Europe,23,80 kg,177 cm,7:08,58,8:53,328,14:34,257,905 lbs,1393,3:04,213
745393,199,Richard Wollboldt,M,South Africa,Africa,27,85 kg,180 cm,8:48,396,9:14,457,14:41,313,948 lbs,761,3:12,322
23655,201,Anthony Haynes,M,China,Asia,32,88 kg,179 cm,9:21,619,8:09,117,14:42,324,963 lbs,608,3:26,592
2064040,202,Kalyan Souza,M,Brazil,South America,21,92 kg,184 cm,9:47,829,8:56,343,14:37,282,959 lbs,645,3:00,163
1170396,203,Pietro Anderloni,M,Italy,Europe,25,,,8:24,293,8:17,139,15:31,781,950 lbs,730,3:14,352
1150117,204,Seth Stovall,M,United States,North America,20,,,8:51,418,8:50,308,15:50,1034,986 lbs,409,2:57,130
1262551,205,Luke Fowler,M,New Zealand,Oceania,22,78 kg,169 cm,6:43,26,8:20,146,16:13,1385,988 lbs,393,3:15,367
